#          r               U
     0.9946257E+00     0.8932743E-09
     0.9946533E+00     0.8932495E-09
     0.9946808E+00     0.8932248E-09
     0.9947084E+00     0.8932000E-09
     0.9947360E+00     0.8931752E-09
     0.9947636E+00     0.8931504E-09
     0.9947913E+00     0.8931256E-09
     0.9948189E+00     0.8931008E-09
     0.9948466E+00     0.8930760E-09
     0.9948742E+00     0.8930511E-09
     0.9949019E+00     0.8930263E-09
     0.9949296E+00     0.8930014E-09
     0.9949574E+00     0.8929765E-09
     0.9949851E+00     0.8929517E-09
     0.9950128E+00     0.8929268E-09
     0.9950406E+00     0.8929018E-09
     0.9950684E+00     0.8928769E-09
     0.9950962E+00     0.8928520E-09
     0.9951240E+00     0.8928270E-09
     0.9951518E+00     0.8928021E-09
     0.9951796E+00     0.8927771E-09
     0.9952075E+00     0.8927521E-09
     0.9952353E+00     0.8927271E-09
     0.9952632E+00     0.8927021E-09
     0.9952911E+00     0.8926771E-09
